,loss
0,10.968685388565063
1,10.449708104133606
2,9.768596053123474
3,9.40176522731781
4,9.070306301116943
5,8.701674699783325
6,8.398230195045471
7,8.245547413825989
8,8.11306118965149
9,7.945761680603027
10,7.868861138820648
11,7.825365900993347
12,7.808105766773224
13,7.768197000026703
14,7.617103278636932
15,7.873792052268982
16,7.745444715023041
17,7.767024755477905
18,7.7015984654426575
19,7.615334331989288
20,7.69180965423584
21,7.860490143299103
22,7.637999176979065
23,7.763022541999817
24,7.702936053276062
25,7.70207405090332
26,7.74667489528656
27,7.685795068740845
28,7.683732271194458
29,7.64804607629776
30,7.725560307502747
31,7.701640963554382
32,7.636889576911926
33,7.736541211605072
34,7.655554533004761
35,7.627728998661041
36,7.604238450527191
37,7.732722997665405
38,7.651192784309387
39,7.835817873477936
40,7.640943288803101
41,7.710227429866791
42,7.703956127166748
43,7.559144139289856
44,7.633793592453003
45,7.65460592508316
46,7.659752666950226
47,7.702784955501556
48,7.636152982711792
49,7.509071946144104
50,7.56980687379837
51,7.573448956012726
52,7.636611580848694
53,7.506021857261658
54,7.605648756027222
55,7.631654500961304
56,7.585351765155792
57,7.52423632144928
58,7.608841240406036
59,7.592602849006653
60,7.541244745254517
61,7.557845652103424
62,7.561061203479767
63,7.493302583694458
64,7.423824369907379
65,7.606943070888519
66,7.361934125423431
67,7.36304497718811
68,7.422717392444611
69,7.491564214229584
70,7.51040506362915
71,7.44770073890686
72,7.427545607089996
73,7.406588971614838
74,7.3589186668396
75,7.464319705963135
76,7.2407960295677185
77,7.287061035633087
78,7.2301982045173645
79,7.182582080364227
80,7.293002963066101
81,7.188316583633423
82,7.213968753814697
83,7.266593098640442
84,7.191163539886475
85,7.268731355667114
86,7.0296419858932495
87,7.174694240093231
88,7.123007893562317
89,7.093198835849762
90,6.984527051448822
91,7.132982313632965
92,7.137059152126312
93,7.093891501426697
94,7.031406283378601
95,6.9668519496917725
96,6.857486665248871
97,6.963733673095703
98,6.960074245929718
99,6.895132303237915
100,6.778689086437225
101,6.914119899272919
102,6.838097929954529
103,6.735708653926849
104,6.938333034515381
105,6.782498002052307
106,6.877513110637665
107,6.947947144508362
108,6.884086787700653
109,6.914194166660309
110,6.83949339389801
111,6.823229134082794
112,6.841245770454407
113,6.77187192440033
114,6.798010349273682
115,6.623405575752258
116,6.655831277370453
117,6.896424233913422
118,6.694432437419891
119,6.7987053990364075
120,6.824332535266876
121,6.8290939927101135
122,6.56606513261795
123,6.76140958070755
124,6.76316499710083
125,6.820088982582092
126,6.725806534290314
127,6.905204772949219
128,6.62700617313385
129,6.735161662101746
130,6.660106897354126
131,6.623744010925293
132,6.687269032001495
133,6.753110468387604
134,6.601502597332001
135,6.706312417984009
136,6.629640519618988
137,6.624916076660156
138,6.562777519226074
139,6.709159195423126
140,6.738391637802124
141,6.713191986083984
142,6.609671115875244
143,6.613518297672272
144,6.68559455871582
145,6.6162344217300415
146,6.5542075634002686
147,6.524021565914154
148,6.454258978366852
149,6.5711164474487305
150,6.656310975551605
151,6.612127602100372
152,6.609601378440857
153,6.563027441501617
154,6.550391137599945
155,6.695277690887451
156,6.527852237224579
157,6.584173083305359
158,6.551656484603882
159,6.492063403129578
160,6.425813436508179
161,6.560271739959717
162,6.491385877132416
163,6.473097324371338
164,6.480203211307526
165,6.377594709396362
166,6.2844021916389465
167,6.435420513153076
168,6.5313339829444885
169,6.367427468299866
170,6.407802522182465
171,6.530747294425964
172,6.38114857673645
173,6.544495344161987
174,6.393775522708893
175,6.4611470103263855
176,6.553800463676453
177,6.52768611907959
178,6.417677938938141
179,6.473631739616394
180,6.389988541603088
181,6.489027321338654
182,6.389171004295349
183,6.455599308013916
184,6.421420693397522
185,6.448656439781189
186,6.4378467202186584
187,6.361248850822449
188,6.399150729179382
189,6.4074989557266235
190,6.483021974563599
191,6.380471050739288
192,6.372470676898956
193,6.3796191811561584
194,6.34312641620636
195,6.444155633449554
196,6.35505336523056
197,6.44766765832901
198,6.271050274372101
199,6.28887802362442
200,6.329617202281952
201,6.218110382556915
202,6.38897979259491
203,6.271504640579224
204,6.252963125705719
205,6.270799815654755
206,6.342974007129669
207,6.300378799438477
208,6.354208946228027
209,6.279101192951202
210,6.30543440580368
211,6.293788492679596
212,6.301184892654419
213,6.352704882621765
214,6.3040653467178345
215,6.324341058731079
216,6.285532712936401
217,6.195651948451996
218,6.343429923057556
219,6.369498610496521
220,6.3329774141311646
221,6.288248956203461
222,6.098167359828949
223,6.113723278045654
224,6.2413992285728455
225,6.135909736156464
226,6.139337956905365
227,6.335959196090698
228,6.270756006240845
229,6.144421994686127
230,6.24494069814682
231,6.2960284948349
232,6.319867491722107
233,6.221688807010651
234,6.154826521873474
235,6.31615537405014
236,6.163365840911865
237,6.237341105937958
238,6.108073711395264
239,6.302196443080902
240,6.212168633937836
241,6.144263029098511
242,6.291511595249176
243,6.22556334733963
244,6.178161323070526
245,6.1522364020347595
246,6.16566526889801
247,6.1553797125816345
248,6.244836866855621
249,6.107894659042358
250,6.1644182205200195
251,6.186782121658325
252,6.205845952033997
253,6.096610844135284
254,6.11753910779953
255,6.196954131126404
256,6.2314348220825195
257,6.080503404140472
258,6.126412272453308
259,6.175059020519257
260,6.212002813816071
261,6.045171022415161
262,6.080666422843933
263,6.093963623046875
264,6.052088558673859
265,5.8436689376831055
266,6.058984994888306
267,6.0990447998046875
268,6.150347709655762
269,6.064262092113495
270,6.0701944231987
271,6.131046116352081
272,6.0505863428115845
273,5.952810645103455
274,6.181002676486969
275,5.984685242176056
276,6.068855285644531
277,5.945945560932159
278,5.958884537220001
279,5.900221288204193
280,5.817817032337189
281,5.98746120929718
282,6.141335189342499
283,5.965477645397186
284,5.935296058654785
285,6.004974603652954
286,6.159706354141235
287,6.014423966407776
288,6.257039189338684
289,6.036862075328827
290,5.870368182659149
291,5.896984696388245
292,5.9388076066970825
293,6.067119479179382
294,5.968288540840149
295,6.080134212970734
296,6.059910535812378
297,6.028983116149902
298,6.043402671813965
299,6.023117244243622
300,6.042126476764679
301,5.910458862781525
302,5.992120087146759
303,6.066429078578949
304,6.06728732585907
305,6.070170044898987
306,5.975660860538483
307,5.899060368537903
308,5.8207239508628845
309,5.9865294098854065
310,5.972135365009308
311,5.788384675979614
312,5.899062514305115
313,6.008790373802185
314,6.046867609024048
315,5.821480929851532
316,5.789723515510559
317,5.801922559738159
318,5.991170883178711
319,5.945573925971985
320,5.968009412288666
321,5.872380256652832
322,5.898883879184723
323,5.912245512008667
324,5.969800055027008
325,5.88279914855957
326,5.956941723823547
327,5.943608522415161
328,5.880620181560516
329,5.781608521938324
330,5.706315338611603
331,5.8713443875312805
332,5.81829971075058
333,5.875849485397339
334,5.84679239988327
335,5.946843862533569
336,5.802034676074982
337,5.899522125720978
338,5.79388153553009
339,5.829752683639526
340,5.840057551860809
341,5.7696269154548645
342,5.830687522888184
343,5.837784111499786
344,6.004351615905762
345,6.009843528270721
346,5.95231431722641
347,5.866429388523102
348,5.792218267917633
349,5.867578148841858
350,5.773131728172302
351,5.72250097990036
352,5.823149502277374
353,5.817409574985504
354,5.792868077754974
355,5.760294139385223
356,5.926449239253998
357,5.896228909492493
358,5.907395303249359
359,5.713015794754028
360,5.75876384973526
361,5.674017012119293
362,5.837610363960266
363,5.741994321346283
364,5.812854468822479
365,5.709270417690277
366,5.943587958812714
367,5.7459105253219604
368,5.81377500295639
369,5.709763586521149
370,5.734818816184998
371,5.752654671669006
372,5.7641748785972595
373,5.71097332239151
374,5.720335364341736
375,5.851936340332031
376,5.786167204380035
377,5.643280029296875
378,5.771780431270599
379,5.798104882240295
380,5.758590042591095
381,5.779928088188171
382,5.754144549369812
383,5.599098443984985
384,5.605035185813904
385,5.70089054107666
386,5.620011866092682
387,5.7253537774086
388,5.634062170982361
389,5.873956680297852
390,5.7535080909729
391,5.671960115432739
392,5.659723877906799
393,5.719431817531586
394,5.788277685642242
395,5.795155644416809
396,5.679880976676941
397,5.749442458152771
398,5.787676990032196
399,5.737631976604462
400,5.922355651855469
401,5.629432439804077
402,5.874233663082123
403,5.803413212299347
404,5.56136953830719
405,5.638585388660431
406,5.762385427951813
407,5.6108545660972595
408,5.830445468425751
409,5.669681191444397
410,5.626695990562439
411,5.580047607421875
412,5.642119407653809
413,5.61685836315155
414,5.565056562423706
415,5.763657748699188
416,5.627612888813019
417,5.5934818983078
418,5.625699937343597
419,5.62532514333725
420,5.678094148635864
421,5.504766464233398
422,5.675795018672943
423,5.660053908824921
424,5.63211065530777
425,5.638023257255554
426,5.548203706741333
427,5.698675453662872
428,5.529849708080292
429,5.595045745372772
430,5.606985867023468
431,5.563376426696777
432,5.568182945251465
433,5.575181841850281
434,5.555123686790466
435,5.626995205879211
436,5.75842010974884
437,5.609701216220856
438,5.609376668930054
439,5.786468029022217
440,5.648315846920013
441,5.523410379886627
442,5.6166181564331055
443,5.679079830646515
444,5.630590379238129
445,5.641521573066711
446,5.598345220088959
447,5.659374117851257
448,5.5767388343811035
449,5.592398583889008
450,5.562597811222076
