,loss
0,10.965112805366516
1,10.365134239196777
2,9.774242520332336
3,9.414957284927368
4,9.074896693229675
5,8.698713898658752
6,8.41663670539856
7,8.2606600522995
8,8.130298018455505
9,7.969417154788971
10,7.884671866893768
11,7.82802551984787
12,7.799414575099945
13,7.803727924823761
14,7.6213343143463135
15,7.883751273155212
16,7.771779954433441
17,7.780571460723877
18,7.7005398869514465
19,7.64165598154068
20,7.709352135658264
21,7.862830936908722
22,7.664712131023407
23,7.769530653953552
24,7.731045782566071
25,7.709142446517944
26,7.777316451072693
27,7.701554954051971
28,7.685295939445496
29,7.680255591869354
30,7.727903485298157
31,7.721036434173584
32,7.642623126506805
33,7.764030158519745
34,7.672134637832642
35,7.655978083610535
36,7.62166440486908
37,7.743889212608337
38,7.677244961261749
39,7.910406827926636
40,7.678743541240692
41,7.7403165102005005
42,7.702733755111694
43,7.596333861351013
44,7.653900384902954
45,7.681902170181274
46,7.71386456489563
47,7.713609218597412
48,7.65042769908905
49,7.547005534172058
50,7.631157219409943
51,7.63876211643219
52,7.701830327510834
53,7.552031934261322
54,7.673381209373474
55,7.681855916976929
56,7.658774733543396
57,7.621039986610413
58,7.692340791225433
59,7.6856971979141235
60,7.652967751026154
61,7.699041068553925
62,7.660484969615936
63,7.613880813121796
64,7.5783743262290955
65,7.768822014331818
66,7.550260841846466
67,7.553533554077148
68,7.621703028678894
69,7.692380249500275
70,7.738303959369659
71,7.665900230407715
72,7.689176082611084
73,7.6449995040893555
74,7.657881736755371
75,7.793861746788025
76,7.55645889043808
77,7.629677951335907
78,7.605422377586365
79,7.595545530319214
80,7.700134634971619
81,7.586863279342651
82,7.652104318141937
83,7.698096573352814
84,7.633289575576782
85,7.747484564781189
86,7.561204135417938
87,7.68389493227005
88,7.674841523170471
89,7.649119436740875
90,7.560977458953857
91,7.6674487590789795
92,7.710712015628815
93,7.670926332473755
94,7.6359599232673645
95,7.589030086994171
96,7.51637202501297
97,7.5876272320747375
98,7.5796204805374146
99,7.569874882698059
100,7.433236539363861
101,7.562968075275421
102,7.50340074300766
103,7.430052876472473
104,7.548317551612854
105,7.448182761669159
106,7.528625905513763
107,7.570433616638184
108,7.5468791127204895
109,7.547685921192169
110,7.513616919517517
111,7.4998533725738525
112,7.5250853300094604
113,7.4215439558029175
114,7.438833117485046
115,7.294854402542114
116,7.314622461795807
117,7.5086711049079895
118,7.330400586128235
119,7.4158337116241455
120,7.402136921882629
121,7.473409056663513
122,7.237013638019562
123,7.367024779319763
124,7.363513231277466
125,7.408713519573212
126,7.330761075019836
127,7.505957305431366
128,7.220700025558472
129,7.305515825748444
130,7.217942416667938
131,7.194471538066864
132,7.237768709659576
133,7.293664813041687
134,7.160976469516754
135,7.252045214176178
136,7.162133693695068
137,7.1673871874809265
138,7.103931128978729
139,7.245492577552795
140,7.230376243591309
141,7.228034496307373
142,7.122449219226837
143,7.1372159123420715
144,7.206402897834778
145,7.136842370033264
146,7.0333752036094666
147,7.063682436943054
148,6.9773775935173035
149,7.040907025337219
150,7.129755675792694
151,7.061439037322998
152,7.0423224568367
153,7.007527112960815
154,7.008259117603302
155,7.148335814476013
156,6.964815974235535
157,7.001400172710419
158,6.987916052341461
159,6.900878131389618
160,6.843391060829163
161,6.9555429220199585
162,6.908170580863953
163,6.876296699047089
164,6.867658197879791
165,6.770440518856049
166,6.6727296113967896
167,6.850722074508667
168,6.902930498123169
169,6.742803514003754
170,6.8128527998924255
171,6.89723938703537
172,6.736830055713654
173,6.920745253562927
174,6.790180742740631
175,6.793915748596191
176,6.869226098060608
177,6.878225684165955
178,6.725907027721405
179,6.838584244251251
180,6.751306176185608
181,6.804356276988983
182,6.7245253920555115
183,6.778603911399841
184,6.768856167793274
185,6.778517067432404
186,6.751280128955841
187,6.661557555198669
188,6.764457941055298
189,6.706805348396301
190,6.800714373588562
191,6.673634707927704
192,6.672386109828949
193,6.677889466285706
194,6.6377673745155334
195,6.719118893146515
196,6.678139090538025
197,6.699329972267151
198,6.543963551521301
199,6.578167080879211
200,6.6455700397491455
201,6.4885812401771545
202,6.687145233154297
203,6.579927742481232
204,6.596463203430176
205,6.5549004673957825
206,6.635818600654602
207,6.6003193855285645
208,6.656902074813843
209,6.543761432170868
210,6.58481764793396
211,6.57803475856781
212,6.5637481808662415
213,6.609682679176331
214,6.563533067703247
215,6.608367025852203
216,6.565917730331421
217,6.4805232882499695
218,6.59292197227478
219,6.639891445636749
220,6.602491557598114
221,6.551762044429779
222,6.411911845207214
223,6.40645158290863
224,6.52727872133255
225,6.401837050914764
226,6.415210723876953
227,6.611216068267822
228,6.537534534931183
229,6.426901876926422
230,6.4921875
231,6.582260429859161
232,6.58275693655014
233,6.481545090675354
234,6.418663918972015
235,6.594107925891876
236,6.444936215877533
237,6.504229187965393
238,6.368102252483368
239,6.545072972774506
240,6.531134605407715
241,6.41602224111557
242,6.5314085483551025
243,6.465169429779053
244,6.426539480686188
245,6.4091209173202515
246,6.412977993488312
247,6.428811013698578
248,6.495713114738464
249,6.37287312746048
250,6.408616483211517
251,6.401742517948151
252,6.411694824695587
253,6.338273644447327
254,6.361420512199402
255,6.430924117565155
256,6.474687099456787
257,6.327317178249359
258,6.416861116886139
259,6.417257905006409
260,6.466299891471863
261,6.322265088558197
262,6.331076264381409
263,6.373560845851898
264,6.3315815925598145
265,6.128892958164215
266,6.306699573993683
267,6.352142930030823
268,6.413782894611359
269,6.3339585065841675
270,6.357595801353455
271,6.346874713897705
272,6.32081139087677
273,6.206955075263977
274,6.435166776180267
275,6.271940350532532
276,6.303346037864685
277,6.20416122674942
278,6.192616879940033
279,6.1896615624427795
280,6.14045912027359
281,6.252579867839813
282,6.403935432434082
283,6.227594256401062
284,6.202251493930817
285,6.248361527919769
286,6.40133935213089
287,6.283403694629669
288,6.50305712223053
289,6.280170559883118
290,6.131044924259186
291,6.145541071891785
292,6.190859615802765
293,6.30946010351181
294,6.22626256942749
295,6.341086983680725
296,6.274714231491089
297,6.270494282245636
298,6.288088142871857
299,6.247733235359192
300,6.274707734584808
301,6.210883915424347
302,6.223030745983124
303,6.32195657491684
304,6.302388548851013
305,6.293719530105591
306,6.199907004833221
307,6.140969336032867
308,6.056593060493469
309,6.24116188287735
310,6.204696893692017
311,6.050800621509552
312,6.165561378002167
313,6.246874392032623
314,6.299441635608673
315,6.0575138330459595
316,6.017540991306305
317,6.042527973651886
318,6.202716052532196
319,6.183605313301086
320,6.196324527263641
321,6.089341521263123
322,6.130540370941162
323,6.112216293811798
324,6.19444876909256
325,6.110265135765076
326,6.176236391067505
327,6.181004106998444
328,6.138176620006561
329,6.002263426780701
330,5.914562284946442
331,6.099236607551575
332,6.047060012817383
333,6.1021808385849
334,6.11639279127121
335,6.193193852901459
336,6.029855906963348
337,6.150237560272217
338,6.032888174057007
339,6.062869727611542
340,6.077324092388153
341,6.005349695682526
342,6.054705023765564
343,6.056574881076813
344,6.202420353889465
345,6.233773112297058
346,6.205833435058594
347,6.128456652164459
348,6.004120171070099
349,6.087364196777344
350,6.057998061180115
351,5.981745481491089
352,6.065780520439148
353,6.060455739498138
354,6.057141661643982
355,6.0285152196884155
356,6.188618719577789
357,6.135091483592987
358,6.130099534988403
359,5.982479572296143
360,6.015257716178894
361,5.8883978724479675
362,6.089017629623413
363,5.978588163852692
364,6.026563286781311
365,5.971120476722717
366,6.212573885917664
367,6.001248359680176
368,6.06633073091507
369,5.964642703533173
370,5.986374855041504
371,5.982970237731934
372,6.016036331653595
373,5.9458311796188354
374,5.956411123275757
375,6.05991005897522
376,5.985733270645142
377,5.855179786682129
378,6.058122515678406
379,6.056411802768707
380,5.994450628757477
381,6.067890226840973
382,5.996806979179382
383,5.799555242061615
384,5.891595482826233
385,5.930636405944824
386,5.872974455356598
387,5.946101069450378
388,5.84669691324234
389,6.085156261920929
390,6.006304204463959
391,5.891814947128296
392,5.865624487400055
393,5.957806348800659
394,6.026816189289093
395,6.022684693336487
396,5.927119851112366
397,5.9682722091674805
398,6.0003215074539185
399,5.956369161605835
400,6.12206906080246
401,5.855946123600006
402,6.090497255325317
403,5.987490177154541
404,5.828099071979523
405,5.846760392189026
406,5.97004908323288
407,5.810734927654266
408,6.015236794948578
409,5.890211224555969
410,5.868463158607483
411,5.8067052364349365
412,5.871708452701569
413,5.826001405715942
414,5.813026964664459
415,5.968612790107727
416,5.881006836891174
417,5.831736445426941
418,5.85122013092041
419,5.845804333686829
420,5.875725626945496
421,5.740482926368713
422,5.897497534751892
423,5.891410708427429
424,5.858349621295929
425,5.8400914669036865
426,5.828708469867706
427,5.910822808742523
428,5.747286438941956
429,5.8414804339408875
430,5.794574081897736
431,5.776340365409851
432,5.790830910205841
433,5.808803379535675
434,5.765248119831085
435,5.828475654125214
436,5.953915774822235
437,5.7991021275520325
438,5.797383725643158
439,5.947408974170685
440,5.879765689373016
441,5.723530292510986
442,5.850064158439636
443,5.875328958034515
444,5.8397451639175415
445,5.850611507892609
446,5.816262602806091
447,5.8722310066223145
448,5.788269519805908
449,5.809519469738007
450,5.77901154756546
451,5.921273648738861
452,5.835554659366608
453,5.6401015520095825
454,5.855025768280029
455,5.802152574062347
456,5.640585780143738
457,5.664943993091583
458,5.749289810657501
459,5.754818379878998
460,5.873978495597839
461,6.032860100269318
462,5.809033215045929
463,5.774813592433929
464,5.749377131462097
465,5.774899959564209
466,5.6073983907699585
467,5.736439347267151
468,5.688400685787201
469,5.680078029632568
470,5.759492754936218
471,5.701032757759094
472,5.760321259498596
473,5.700390934944153
474,5.6574238538742065
475,5.618850469589233
476,5.601734399795532
477,5.7139222621917725
478,5.699298560619354
479,5.724132418632507
480,5.667090475559235
481,5.676360368728638
482,5.805684268474579
483,5.661460220813751
484,5.81958943605423
485,5.770389139652252
486,5.663142204284668
487,5.669198632240295
488,5.709341645240784
489,5.6559218764305115
490,5.700835168361664
491,5.649094045162201
492,5.608549952507019
493,5.652958393096924
494,5.677235901355743
495,5.714707851409912
496,5.7484042048454285
497,5.661532819271088
498,5.553918421268463
